< test(1) >
762 934 938
273 32 994
292 454 997
847 89 804
492 900 250
481 705 729
623 994 105
97 584 56
305 15 480
273 290 606
583 498 467
510 500 723
623 800 251
146 953 368
134 609 579

------ INPUT END --------
------ ANSWER START -----
115000

------ ANSWER END -------
< test(24) >
------ INPUT START ------
458
288 960 556
726 94 590
439 83 833
82 930 924
99 77 412
619 679 155
997 853 262
618 520 575
878 414 968
182 405 269
886 751 101
246 390 863
72 521 599
82 799 490
667 85 461
309 148 25
886 352 716
761 755 236
992 870 874
907 966 187
614 289 862
376 197 948
205 30 688
301 721 350
857 717 244
687 434 102
909 390 624
889 631 179
161 966 893
916 476 469
398 895 326
614 770 621
836 70 877
434 321 650
732 160 277
870 57 592
295 415 534
868 565 580
71 940 374
152 869 39
600 742 650
820 963 55
18 392 830
383 519 394
59 487 508
347 415 23
803 500 802
118 734 540
521 400 883
265 601 957
487 180 32
720 942 314
646 914 373
430 839 220
845 277 823
126 608 386
827 480 666
313 2 298
81 903 518
356 684 343
323 393 136
708 953 712
677 788 254
4 277 430
714 366 168
819 506 293
190 858 778
942 911 372
375 833 311
734 102 428
748 722 134
484 977 111
538 206 317
126 454 211
366 82 506
683 954 721
461 893 38
955 374 417
439 86 340
692 49 882
402 478 271
409 97 464
228 762 374
707 57 878
474 480 791
624 968 660
658 320 179
192 198 76
387 582 202
149 594 934
374 699 723
504 608 564
221 931 479
267 772 200
57 81 244
938 855 990
43 512 433
935 221 765
257 336 173
445 67 135
321 359 712
170 31 570
345 29 681
595 294 215
292 505 167
628 645 929
454 911 554
225 140 103
420 671 422
519 225 950
840 656 621
508 726 383
930 404 641
986 32 494
668 400 383
241 300 935
200 536 108
463 391 805
689 414 554
695 216 424
934 124 855
22 194 697
543 17 807
633 505 511
994 631 543
197 414 451
336 982 207
358 964 739
772 123 815
935 444 99
768 295 51
758 33 112
794 815 44
417 784 753
363 31 97
623 380 713
853 442 824
192 375 603
84 776 547
486 305 420
113 332 39
347 644 990
620 931 85
813 817 981
992 941 809
755 868 972
255 930 869
106 957 940
990 138 482
997 144 30
74 707 209
326 608 65
636 689 245
655 463 531
734 285 643
369 199 656
314 606 898
81 365 149
892 498 117
879 811 894
65 855 84
791 342 5
505 422 704
996 602 881
120 718 588
405 601 489
155 197 116
464 373 734
758 917 860
391 873 998
128 168 259
606 794 865
250 199 939
725 123 261
324 385 159
668 102 599
696 393 206
41 437 783
467 776 910
825 722 466
786 344 481
104 42 746
665 950 600
354 239 60
425 185 224
17 532 454
254 519 859
373 999 713
99 847 204
515 827 126
116 444 365
265 629 975
402 12 559
325 4 476
613 86 13
293 374 597
171 780 975
548 595 878
482 277 46
478 536 19
160 933 274
310 186 744
744 165 865
294 597 525
266 294 638
943 906 931
543 983 112
41 27 729
975 694 141
908 323 299
67 666 430
653 917 291
746 81 267
562 971 468
665 394 120
319 388 366
285 851 634
380 970 805
885 553 349
669 738 207
471 169 259
529 929 806
644 491 620
841 359 844
690 204 465
416 434 699
894 974 267
546 427 141
913 255 116
55 983 50
83 662 666
43 23 1
218 428 105
662 700 312
380 428 38
116 109 760
875 733 108
64 121 68
540 71 891
549 408 610
29 722 86
732 846 437
546 506 384
637 155 746
69 958 612
994 693 449
163 999 315
844 157 936
221 613 747
552 663 978
264 241 568
421 966 301
559 604 213
753 276 916
508 241 446
731 509 3
927 649 497
595 816 104
61 708 591
503 105 190
680 287 9
826 886 586
29 537 4
862 870 166
367 69 112
989 263 192
653 566 12
764 895 586
350 532 726
768 298 313
918 99 653
389 175 35
961 254 296
540 940 60
768 819 409
52 388 347
93 550 238
758 959 241
879 452 354
626 117 544
169 619 741
311 37 715
818 623 62
571 537 505
200 613 414
444 310 84
880 801 598
44 587 187
935 846 235
112 563 582
679 187 671
927 904 412
542 67 275
639 6 794
513 742 925
132 580 746
361 377 462
698 983 23
432 466 409
924 520 63
595 275 875
433 28 866
265 43 112
51 465 569
739 456 970
694 350 639
433 871 343
666 185 302
482 259 620
996 474 416
862 122 607
926 307 559
35 404 423
822 674 241
21 777 408
382 631 638
681 5 695
994 145 978
696 979 656
507 394 249
84 600 466
917 557 348
860 339 537
864 257 588
49 575 981
31 852 602
782 828 459
750 970 552
484 688 171
396 10 988
889 980 574
242 489 382
389 154 495
471 318 258
160 317 691
366 321 689
928 183 448
706 79 321
162 434 657
723 716 447
6 364 599
344 606 732
55 616 427
904 494 811
429 113 675
721 157 474
934 145 370
777 772 676
475 969 32
812 438 82
140 793 812
622 483 140
498 920 350
814 608 312
123 594 948
156 631 824
431 515 462
791 1 953
48 212 685
668 270 141
541 172 693
175 107 100
65 352 303
138 981 358
128 567 705
977 844 101
320 779 634
43 441 700
947 501 791
818 561 29
323 258 682
518 678 503
551 645 745
37 104 416
338 781 170
85 618 320
803 70 498
78 263 819
128 455 310
304 325 378
971 247 35
966 538 553
541 262 579
853 385 174
207 431 377
870 351 414
106 741 349
162 344 886
793 925 657
281 790 442
973 164 577
361 948 34
392 949 592
214 292 330
178 917 946
112 431 493
452 745 772
219 663 553
800 838 514
489 202 626
811 896 890
359 442 598
943 990 349
369 482 172
362 147 756
525 988 627
71 376 817
852 352 604
512 508 495
528 434 818
553 523 213
302 303 731
804 483 311
918 873 316
280 175 483
875 867 339
46 780 63
55 81 843
609 225 657
176 794 893
259 864 323
699 152 671
690 252 341
391 771 192
346 416 834
787 849 936
697 85 291
250 476 821
773 922 753
369 580 711
272 432 429
384 728 428
256 865 855
13 152 787
286 929 71
540 394 474
439 952 930
706 697 587
790 160 655
168 394 449
594 152 896
612 136 290
265 283 132
423 102 697
348 764 405
243 33 816
981 135 846
337 905 348
534 822 985
749 605 601
539 395 235
664 204 557
213 884 109
270 240 952
782 490 655
16 186 702
809 989 331
799 507 93

------ INPUT END --------
------ ANSWER START -----
318288

------ ANSWER END -------
< test(25) >
------ INPUT START ------
448
204 93 285
559 233 148
478 439 622
866 795 364
754 185 572
810 690 985
839 259 414
53 494 853
858 666 890
256 208 885
720 994 111
933 360 759
829 606 113
488 984 115
488 394 813
884 98 415
532 755 781
996 621 374
253 489 411
985 695 989
300 630 24
629 730 638
862 337 261
540 139 829
915 414 856
33 31 344
876 369 572
614 658 331
285 29 563
170 303 495
838 671 164
75 778 142
682 589 992
929 567 420
502 250 171
367 835 766
840 449 628
261 986 729
751 285 576
523 335 889
517 422 576
694 626 578
945 212 272
580 532 55
374 70 53
546 793 793
399 923 540
475 988 927
175 461 301
273 468 944
719 228 689
152 288 400
414 621 636
597 413 781
407 450 525
417 625 278
688 739 133
101 607 800
328 802 423
597 587 584
858 240 575
702 617 20
486 181 113
331 353 648
799 447 712
950 252 734
141 288 224
492 678 818
168 763 679
29 153 544
570 673 423
86 466 54
537 851 498
716 786 262
848 243 110
655 866 543
403 289 258
128 23 450
269 386 880
460 467 316
428 988 59
704 87 993
1000 117 164
444 705 223
247 293 450
412 791 1000
815 57 289
200 152 856
912 841 652
993 66 116
891 656 170
215 716 677
374 703 621
693 599 73
229 626 813
917 581 405
650 682 177
42 794 454
47 922 675
659 841 521
571 189 83
131 448 644
497 755 721
878 75 180
50 703 95
173 104 500
192 294 517
763 514 576
560 531 943
829 142 181
183 75 910
527 966 723
111 675 975
473 836 846
934 324 66
824 470 843
563 91 291
24 652 707
667 335 940
543 505 765
405 273 187
48 215 701
293 251 981
918 219 506
364 256 461
139 260 771
60 61 242
6 109 407
367 577 472
87 835 202
483 570 263
179 678 111
355 513 940
991 451 228
951 974 610
809 878 618
760 767 545
300 467 89
32 396 575
834 284 313
432 472 449
137 358 542
244 810 95
725 835 77
343 376 89
230 628 246
797 943 175
685 328 718
736 317 236
542 49 727
6 742 18
983 125 907
767 823 424
358 658 547
208 625 266
447 168 277
390 272 926
83 451 356
284 36 907
166 219 5
171 501 962
863 510 22
310 68 706
617 105 120
301 434 574
817 362 781
168 384 517
785 406 300
160 471 553
558 704 276
48 972 440
720 224 392
631 857 924
41 597 27
653 863 221
579 951 444
989 181 100
975 710 637
883 867 504
839 257 130
496 722 774
925 749 949
854 186 223
901 89 696
9 86 42
994 59 321
924 522 5
606 671 696
632 353 252
779 130 260
737 259 533
695 35 826
365 740 938
385 119 73
101 649 52
347 493 1
556 702 393
928 613 494
505 48 447
494 22 740
277 551 388
49 174 557
411 168 61
393 149 815
722 987 369
42 35 742
554 699 145
494 569 713
29 237 485
316 844 79
426 971 813
451 821 309
811 915 936
417 658 548
365 878 593
51 584 684
3 163 476
795 758 431
753 297 662
280 43 101
929 385 741
408 486 204
85 499 112
986 42 776
728 966 165
226 546 200
835 536 439
940 392 78
148 656 417
120 216 225
960 135 236
48 314 662
18 860 91
59 362 269
976 697 582
718 421 983
416 991 983
947 489 665
873 62 151
747 1 300
324 37 670
766 629 21
142 756 526
63 122 338
576 834 297
460 691 457
213 42 510
300 806 12
544 780 559
553 305 992
716 998 637
562 667 463
971 45 16
76 577 55
60 845 271
225 450 133
789 56 98
613 40 406
441 978 443
209 139 993
765 152 116
806 874 877
763 485 854
970 22 510
96 318 6
131 678 993
960 322 642
964 772 83
781 585 325
393 210 504
137 319 179
310 165 895
374 947 543
941 730 757
799 476 145
295 485 41
988 347 896
963 640 818
719 701 63
108 595 865
813 569 370
92 114 103
93 27 297
181 578 543
503 926 873
975 213 843
603 25 176
28 110 549
31 785 60
937 629 681
500 254 953
251 991 715
849 110 621
873 692 693
815 28 84
533 490 703
222 591 297
460 993 221
350 191 348
454 973 645
396 743 335
739 760 783
270 885 344
397 230 419
265 203 394
999 851 106
544 982 925
289 196 103
889 506 949
343 423 44
389 736 985
218 677 411
191 107 474
264 929 559
871 188 371
878 66 137
853 874 252
757 799 186
968 257 411
888 600 172
727 114 626
570 522 151
758 994 320
965 797 438
797 21 771
199 93 877
492 682 986
658 337 835
285 592 783
110 827 859
60 778 322
323 426 579
530 882 841
182 45 927
918 462 83
289 519 274
946 542 512
480 576 587
796 681 316
125 682 770
618 419 503
215 952 71
234 492 206
297 296 755
97 369 967
733 557 70
915 828 223
971 296 185
957 672 535
104 901 922
426 690 181
186 623 824
947 775 855
474 336 216
405 946 887
991 314 54
551 30 220
254 53 757
410 263 415
364 46 993
604 885 330
663 922 115
427 928 96
90 361 106
297 990 751
77 541 308
164 309 75
789 829 515
409 796 243
58 139 148
67 98 559
29 346 235
151 832 371
705 377 112
27 836 624
687 454 631
130 939 226
846 461 342
599 401 991
73 780 358
764 671 702
165 601 309
142 134 50
996 329 140
459 344 785
478 301 253
192 984 641
138 594 764
687 220 858
373 324 13
865 219 815
10 980 519
810 460 581
788 20 606
438 756 694
634 801 636
656 272 441
907 865 662
965 477 61
804 539 27
417 267 61
769 464 719
565 795 918
840 272 759
546 436 151
177 359 113
876 866 415
161 675 308
820 576 539
1000 263 499
567 457 351
662 903 578
416 714 913
324 880 398
327 79 189
578 188 153
224 956 425
444 79 624
328 922 188
408 81 83
324 373 375
181 800 45
276 212 640
460 73 854
275 403 208
417 902 6
89 641 64
741 824 157
894 288 487
295 823 2
447 439 327
555 368 692
228 655 313
235 45 205
538 608 204
392 634 415
292 258 62
402 218 950
259 992 901
568 122 884
648 879 887
587 587 764
151 994 741
703 988 39
951 812 97
519 790 850
362 879 392
502 724 143

------ INPUT END --------
------ ANSWER START -----
312528

------ ANSWER END -------
< test(26) >
------ INPUT START ------
825
260 961 853
745 939 481
967 690 458
387 797 541
644 870 334
486 489 472
11 676 664
285 433 832
407 289 259
985 291 132
338 993 107
941 794 468
955 934 929
75 751 239
430 212 464
232 738 865
788 631 16
739 804 294
908 640 838
174 41 395
819 542 901
755 9 334
257 394 830
74 176 521
169 250 653
963 163 805
666 447 980
19 269 386
171 924 75
145 261 589
437 59 418
435 510 738
401 717 691
994 854 739
41 120 765
962 363 903
416 509 802
640 151 414
780 608 645
575 152 392
593 672 83
78 264 848
200 466 892
860 109 717
556 826 216
278 629 360
685 230 14
84 958 784
944 328 570
203 379 616
455 795 687
108 905 624
116 861 388
190 496 865
814 954 710
690 81 14
410 216 518
603 243 638
321 927 966
34 38 59
993 792 781
321 247 28
880 633 681
923 248 67
643 101 307
559 135 223
347 876 801
256 15 694
936 390 376
394 204 440
951 822 20
465 38 583
232 241 445
19 840 310
337 43 534
407 504 913
395 773 299
548 453 911
456 660 647
920 391 107
49 475 721
471 57 658
574 544 465
477 708 652
684 118 710
917 488 143
912 394 576
148 811 570
508 577 769
80 454 813
94 381 454
507 440 190
400 177 260
558 74 971
29 92 816
902 121 529
419 276 92
443 621 905
531 100 832
394 508 905
985 156 151
719 993 194
99 973 721
495 423 448
518 287 777
535 292 304
468 91 704
254 37 79
481 322 80
382 383 547
128 708 76
992 265 627
612 339 801
312 593 966
917 662 98
959 1000 420
409 879 515
166 330 911
228 676 974
975 562 352
463 174 834
500 54 74
779 594 791
68 347 212
200 333 906
59 874 267
917 785 340
140 350 358
104 694 952
252 987 144
516 233 759
58 21 937
236 88 236
401 763 334
170 518 661
632 808 620
49 759 677
274 658 152
370 735 340
989 958 15
542 838 85
565 877 529
779 626 936
577 153 249
570 973 764
508 669 390
723 753 78
867 842 757
684 509 230
887 467 954
913 465 131
162 167 496
935 195 95
716 454 283
32 474 555
487 107 969
928 214 493
396 961 304
405 58 521
255 984 562
67 575 814
635 842 303
761 945 364
935 397 887
774 575 290
115 433 908
657 193 584
519 605 717
294 965 524
330 263 802
223 930 19
465 195 567
781 324 958
110 231 711
193 841 859
554 486 721
191 299 790
160 828 668
994 924 560
22 217 448
26 221 673
197 224 386
300 621 318
825 35 752
894 921 525
673 442 423
956 739 431
524 226 756
511 236 903
93 83 402
912 424 404
523 930 488
761 467 267
578 271 141
13 13 746
992 295 739
48 350 658
583 782 408
152 859 632
377 800 727
821 236 928
940 493 676
683 494 741
200 278 102
364 753 709
134 863 848
95 26 724
562 277 575
79 288 342
375 76 761
700 340 203
210 73 643
157 85 556
996 888 832
743 894 177
901 182 969
606 62 872
973 735 154
35 946 686
373 689 442
616 251 1000
323 475 262
14 804 894
168 550 747
239 41 763
126 996 230
345 914 839
911 499 389
950 289 475
717 328 183
123 660 576
419 63 801
946 890 281
310 640 686
929 55 374
173 856 313
563 616 939
582 222 949
697 976 47
327 188 877
710 359 424
838 233 238
93 643 107
75 602 908
877 645 564
609 698 980
373 3 851
586 649 829
947 858 352
483 605 522
695 358 584
806 966 500
457 864 886
172 385 805
450 919 650
691 592 178
531 408 513
187 403 474
716 561 131
109 286 110
966 249 692
264 125 856
323 231 422
847 254 888
757 245 441
784 65 372
786 226 655
730 801 559
38 717 779
16 181 329
796 101 289
906 649 111
35 93 742
587 791 932
300 266 160
121 612 783
242 330 461
13 58 347
50 67 30
633 486 930
52 82 600
317 35 807
747 678 472
777 279 198
214 453 287
525 619 704
820 385 492
850 746 408
178 181 70
897 207 350
872 191 736
346 167 956
425 402 334
483 386 174
365 767 924
127 778 484
293 123 890
376 23 250
962 897 981
679 759 790
516 349 907
608 115 446
272 262 80
298 996 252
421 203 77
658 828 231
410 488 802
244 344 55
497 56 686
855 465 946
560 596 181
771 945 109
588 218 612
676 620 3
269 298 966
2 708 698
978 193 12
356 288 288
141 454 128
853 707 645
689 952 568
736 545 929
783 525 612
510 488 523
828 225 367
141 662 347
255 956 711
96 358 536
941 700 391
491 754 99
653 813 887
24 180 655
707 429 858
299 943 1000
419 995 940
35 243 436
676 550 55
157 966 26
506 129 647
69 38 504
773 458 214
194 934 52
31 971 75
365 204 116
634 813 185
617 489 577
866 219 472
498 892 795
728 873 37
381 828 183
96 774 535
365 888 576
209 727 581
189 891 183
357 351 80
241 382 538
854 345 565
769 840 360
884 911 284
664 233 734
927 854 498
565 983 286
318 101 875
87 692 357
404 805 934
184 788 922
529 442 599
558 146 630
542 487 472
170 592 975
317 213 545
471 279 530
880 847 771
171 37 556
172 735 742
887 728 74
170 438 365
540 569 806
454 580 735
644 541 869
364 845 125
700 646 599
719 785 287
356 499 552
90 236 912
449 906 865
767 259 166
688 976 842
518 982 713
121 969 894
257 677 572
868 526 585
502 60 776
491 517 513
416 971 399
548 969 381
724 291 992
207 566 26
567 173 312
47 351 280
295 49 807
213 110 510
960 928 74
875 118 44
231 296 112
133 739 588
941 653 54
144 291 694
606 467 438
827 573 48
301 870 9
522 830 662
602 950 187
266 910 674
464 420 685
646 610 128
436 870 367
682 520 886
568 866 157
159 119 672
349 799 651
119 723 814
823 310 686
545 400 540
479 906 138
122 820 391
795 810 991
940 516 121
859 558 833
150 179 985
977 386 566
761 115 531
422 542 737
810 754 852
434 453 24
71 576 882
24 499 387
950 557 105
589 161 254
916 984 984
140 553 265
351 141 333
671 312 255
754 687 22
13 853 592
817 525 19
765 346 717
901 925 626
911 940 717
302 745 241
382 925 362
195 468 199
92 432 704
698 868 180
343 782 9
742 813 848
909 360 194
999 222 563
512 53 307
230 360 815
531 671 677
494 29 287
368 139 696
834 181 430
818 801 303
193 855 310
241 739 710
368 158 595
620 888 456
567 863 939
761 988 306
279 157 284
429 996 331
815 977 979
825 543 6
616 583 256
320 481 610
315 85 393
957 488 730
910 42 584
295 393 829
517 235 945
792 59 329
544 380 447
269 875 75
569 953 907
552 135 590
230 787 393
564 39 723
584 176 61
15 557 676
604 338 691
966 717 452
500 33 957
69 885 24
821 511 59
128 659 264
885 186 459
846 351 868
979 601 9
6 267 300
432 362 417
205 380 144
798 489 106
315 312 553
500 825 440
322 372 982
696 727 692
145 655 374
109 107 395
807 606 108
18 48 115
823 563 192
263 426 349
459 567 371
169 509 991
357 730 604
379 939 443
406 405 682
483 942 80
753 988 399
759 323 696
632 473 471
219 354 224
920 938 925
158 75 890
832 361 720
169 887 363
221 994 988
715 507 877
378 518 479
673 345 425
471 979 743
402 30 444
674 70 130
421 420 558
300 80 51
822 6 492
598 910 582
564 136 367
615 939 143
959 811 920
971 241 763
737 477 398
626 804 845
259 675 825
784 576 661
191 923 242
986 331 313
81 751 189
831 299 46
714 258 668
825 115 339
654 118 270
770 772 372
638 678 79
930 872 193
330 834 302
86 761 464
665 128 260
213 782 511
822 433 912
210 700 88
720 942 645
772 443 492
1000 601 665
868 573 308
153 23 980
299 565 405
737 874 666
580 502 294
327 991 434
745 358 179
377 52 503
282 685 474
86 760 653
326 970 320
222 842 230
496 291 644
671 448 457
106 323 174
963 184 473
164 490 823
172 726 981
496 361 300
674 981 374
180 890 378
115 75 870
268 630 494
577 479 77
968 420 182
388 51 651
604 598 687
461 247 836
138 588 764
136 302 669
461 950 860
239 378 647
448 440 899
829 396 872
548 959 178
238 402 429
753 818 708
892 724 276
812 907 927
968 145 331
721 585 10
140 151 823
109 434 234
473 441 962
320 223 584
667 471 423
823 731 438
933 341 446
463 39 603
753 886 67
514 895 50
17 480 987
243 61 295
287 32 166
382 13 803
321 252 142
6 827 935
165 338 89
249 837 350
815 711 319
240 466 441
247 918 202
396 148 400
798 853 97
954 665 664
551 553 520
979 893 389
483 434 689
446 293 756
436 361 803
347 207 744
780 656 366
58 862 659
881 786 91
801 802 196
811 707 757
472 979 669
26 83 63
817 903 342
923 593 360
594 230 824
811 589 477
671 548 487
855 244 544
574 95 583
831 340 509
518 909 689
732 920 860
150 823 214
18 304 488
790 87 750
592 895 67
610 991 694
380 777 299
513 222 401
358 350 517
486 579 433
12 9 719
357 167 966
844 571 994
920 977 866
750 524 277
473 713 143
330 767 449
106 849 533
345 717 642
41 742 755
787 559 78
554 250 987
159 885 635
80 267 372
700 386 929
876 19 448
243 418 694
397 195 699
380 208 642
452 104 400
739 767 369
123 771 878
234 535 269
63 846 480
384 523 315
522 55 104
36 779 251
107 360 705
837 486 641
859 443 443
488 685 581
340 285 50
981 949 878
451 905 350
23 201 840
473 590 770
598 308 81
861 537 47
276 617 949
123 489 920
908 872 33
336 132 192
675 841 703
212 113 848
666 341 582
915 824 135
38 242 964
929 254 908
289 245 482
999 51 177
983 733 545
606 372 845
285 277 600
596 709 200
78 513 510
234 950 426
350 454 298
957 698 133
254 489 778
177 251 373
904 376 985
464 572 694
432 25 912
988 69 487
928 958 712
879 689 112
718 369 312
24 289 865
728 132 841
349 845 962
118 776 849
415 335 103
432 969 225
238 17 402
166 625 867
490 732 283
505 701 798
443 558 775
189 499 168
688 21 308
450 503 65
797 183 709
369 570 450
879 159 339
139 967 69
587 494 470
836 791 100
625 173 736
864 512 59
871 974 111
567 707 631
780 621 601
681 373 238
140 2 290
84 635 214
641 883 326
209 170 108
862 484 417
14 5 463
645 304 850
454 138 619
927 585 843
904 901 755
151 594 594
350 722 224
273 173 116
79 329 494
402 633 67
446 650 971
982 886 529
626 289 684
807 45 995
306 122 977
111 628 626
335 924 263
535 661 996
467 368 364
739 409 551
504 795 545
480 291 81
556 598 272
267 605 821
667 805 781
864 953 825
876 328 978
727 69 223
832 738 678
95 671 823
663 327 743
66 804 664
32 76 489
864 571 307
563 386 171
64 30 970
581 955 235
543 21 828
206 379 549
988 833 704
221 667 702
737 627 163
667 826 543
356 156 975
197 533 274
340 430 987
295 322 783
432 710 616
930 816 648
199 738 612
125 778 983
144 569 503
382 290 716
369 13 532
377 819 765
325 277 286
803 41 585
844 69 611
689 45 752
814 124 26
639 739 240
982 906 718
116 52 809
208 873 384

------ INPUT END --------
------ ANSWER START -----
584191

------ ANSWER END -------
< test(27) >
------ INPUT START ------
23
204 343 17
645 360 193
522 702 395
18 151 831
121 17 49
109 524 819
469 802 538
635 810 65
257 979 19
398 8 328
38 855 628
374 601 850
335 492 353
353 865 667
393 464 570
424 954 274
766 86 680
372 872 912
349 739 330
273 507 708
914 266 171
639 518 147
81 38 507

------ INPUT END --------
------ ANSWER START -----
15768

------ ANSWER END -------
< test(28) >
------ INPUT START ------
818
240 237 900
375 157 494
854 177 324
638 118 255
158 493 141
522 977 700
317 157 570
799 620 240
62 578 373
486 254 240
674 628 154
473 880 630
383 524 946
43 929 966
753 820 87
85 37 222
4 375 303
442 641 288
768 710 265
358 725 662
495 104 161
536 123 624
225 690 525
267 852 274
790 243 139
180 863 474
863 698 343
571 801 940
863 860 922
340 389 710
456 242 860
517 652 353
530 504 161
369 262 209
876 274 923
840 500 803
462 416 29
831 72 649
121 774 798
22 435 771
10 403 964
422 91 370
154 323 392
974 949 722
649 634 332
562 151 349
767 651 952
475 384 356
482 500 239
543 749 720
758 339 935
298 276 30
198 211 106
944 715 867
95 112 385
672 387 748
88 125 90
190 337 6
173 815 468
516 719 853
124 293 488
717 528 734
452 371 97
327 590 429
362 900 284
344 496 252
524 22 414
370 443 151
360 827 504
902 42 759
469 191 227
885 908 998
207 839 591
307 74 467
888 5 426
567 368 817
423 639 509
173 292 660
981 368 442
646 27 890
932 40 843
667 31 253
66 64 431
289 875 810
263 178 636
398 354 457
774 929 391
385 453 326
20 391 30
205 966 89
638 318 979
396 505 342
734 474 907
961 40 351
21 659 871
135 347 758
779 259 56
649 404 657
242 469 780
487 930 471
674 633 769
802 519 670
545 859 230
35 465 976
61 674 345
951 84 113
668 941 118
902 999 826
816 719 475
725 999 594
313 727 182
412 599 953
105 381 289
730 738 415
853 586 170
528 476 118
925 422 725
493 92 246
347 253 937
512 972 8
801 469 480
828 378 540
501 898 973
27 201 304
362 304 807
197 761 335
945 672 474
489 604 296
494 684 157
464 812 997
304 395 70
534 538 707
919 463 840
6 55 810
328 71 220
381 894 20
979 724 651
806 629 960
171 717 332
771 259 159
583 367 726
690 148 347
688 788 556
852 104 401
904 187 921
629 751 275
69 36 819
189 975 208
879 376 375
756 745 783
269 708 896
905 557 836
241 535 723
5 31 370
894 402 575
310 352 426
338 418 568
125 515 697
771 773 802
6 178 109
770 614 491
278 311 27
657 371 563
68 36 914
319 247 567
984 299 379
328 575 342
324 199 54
993 720 584
840 299 726
143 10 261
629 118 887
302 485 159
210 920 276
697 192 815
249 666 340
86 14 934
704 77 495
153 807 341
968 103 171
559 942 687
412 613 414
42 81 832
483 248 17
413 635 875
294 356 224
967 68 989
756 861 118
925 441 837
438 508 403
302 734 226
965 578 65
87 880 858
483 823 247
704 442 169
916 863 485
567 388 677
921 176 934
443 922 170
344 675 431
971 542 222
244 818 539
337 324 538
134 672 252
239 397 210
279 44 427
552 820 34
848 809 307
762 801 559
933 832 791
595 346 127
564 928 825
694 228 951
467 495 569
60 231 976
904 420 524
614 178 860
683 482 68
834 428 923
75 140 927
747 548 449
914 975 764
108 283 59
357 462 239
864 754 101
811 526 994
602 362 64
570 889 923
463 102 969
350 985 994
281 282 446
492 5 441
775 266 338
439 45 269
254 153 395
466 951 696
677 240 472
606 895 720
975 459 92
439 641 636
958 913 666
154 149 333
247 706 560
223 914 784
427 426 919
88 403 209
252 332 141
529 989 874
432 588 316
555 511 428
34 698 932
858 717 974
651 671 696
998 107 777
705 311 755
594 6 317
917 202 294
482 745 80
966 730 597
268 96 863
625 274 949
500 740 157
31 825 68
621 628 379
343 750 50
880 866 270
270 494 810
145 879 572
563 53 385
942 27 957
547 683 37
684 281 102
311 805 608
175 928 999
838 699 908
382 514 386
514 553 636
956 840 694
950 692 246
325 12 670
710 458 689
668 442 652
677 665 968
300 292 937
243 754 55
507 439 735
598 237 577
755 738 331
663 202 752
636 61 497
4 800 371
291 748 867
195 32 774
841 762 479
508 505 936
658 759 476
521 940 429
381 630 958
184 336 571
731 525 686
157 145 188
537 976 1000
803 771 872
40 966 916
412 970 791
906 997 530
884 925 809
587 511 420
526 96 54
621 581 338
799 548 996
775 234 394
792 231 675
584 989 137
243 491 25
530 414 965
524 131 97
82 741 248
855 327 548
697 603 707
509 536 70
458 336 987
549 927 239
161 921 712
944 469 120
425 843 545
513 214 147
254 433 781
464 695 352
157 139 168
519 304 590
322 853 707
527 604 814
762 212 926
816 59 584
679 892 934
94 972 705
594 86 350
498 523 42
639 830 665
238 978 112
235 324 9
808 526 23
307 27 821
406 829 867
450 327 349
287 689 602
280 760 343
564 92 885
694 385 424
327 196 754
404 414 108
263 479 142
326 141 584
449 500 116
145 433 362
34 389 991
569 888 940
760 457 605
329 349 694
403 155 269
666 467 556
692 404 859
675 565 852
781 138 195
452 206 930
573 962 355
563 894 358
866 352 608
113 640 794
817 404 346
693 581 655
505 90 906
846 659 702
483 820 558
376 416 68
653 700 89
154 548 419
387 77 211
584 187 111
823 410 793
72 349 232
289 864 823
445 713 296
274 684 605
565 714 279
831 55 648
28 179 142
365 451 473
426 438 715
657 537 329
202 652 268
74 712 14
981 221 241
243 636 128
586 862 649
245 916 719
608 229 419
948 5 427
110 570 834
22 404 29
698 709 439
23 271 561
343 382 11
357 328 919
921 859 282
253 193 997
196 97 784
865 692 631
8 917 374
241 189 914
804 576 18
271 935 816
566 363 373
308 29 188
298 614 494
638 241 936
485 663 38
61 319 380
265 96 608
980 665 379
141 558 219
478 803 903
122 26 640
878 162 666
341 501 153
954 97 142
670 724 507
265 988 852
437 233 159
64 165 947
861 303 626
277 728 379
302 876 1000
210 250 988
932 21 655
704 287 153
164 615 621
552 893 799
978 562 512
32 402 446
679 824 736
554 701 915
261 796 930
359 143 172
867 63 826
666 611 161
915 198 163
166 979 990
597 299 329
128 318 33
693 913 13
255 782 256
542 579 867
777 700 645
23 666 264
494 7 221
652 18 424
910 820 716
3 73 124
102 191 288
383 847 897
178 920 69
960 53 276
771 108 14
945 289 157
629 954 727
193 21 244
46 381 158
632 616 335
207 714 865
403 232 967
577 109 912
432 818 744
698 728 735
5 305 501
520 598 621
935 296 249
72 548 166
143 583 531
86 966 331
745 535 491
811 564 550
58 563 588
969 474 786
99 51 313
29 156 524
75 736 597
503 17 624
119 539 771
497 82 536
12 91 444
76 147 312
875 554 591
988 977 316
966 497 714
204 620 54
691 54 421
884 852 939
640 8 845
153 669 263
114 711 83
187 541 788
243 541 57
116 698 502
301 178 542
430 164 998
654 878 671
453 761 303
59 694 552
435 473 835
66 445 669
320 417 290
937 891 981
983 211 473
